Method	Estimate (actual)	Estimate (relative)	Wait (mean)	Wait (max)	Hub r1	Hub r4	Hub r9	Hosp r1	Hosp r4	Hosp r9
hll4_mpc_shuffle_stats	[6,243, 16,850]	[-38%, 68%]	4.787	4.787	0.000	0.000	0.000	0.000	0.000	0.050
hll7_stats	[8,310, 11,347]	[-17%, 13%]	0.006	0.006	1.750	6.850	15.73	1.750	6.850	15.73
hll7_shuffle_stats	[8,310, 11,347]	[-17%, 13%]	0.006	0.006	0.060	0.150	0.230	1.750	6.850	15.73
hll7_rehashed_stats	[8,310, 11,347]	[-17%, 13%]	0.007	0.016	0.000	0.000	0.000	1.750	6.850	15.73
hll7_mask_stats	[7,167, 14,123]	[-28%, 41%]	0.005	0.005	0.000	0.000	0.000	0.000	0.000	0.000
hll7_mpc_stats	[8,310, 11,347]	[-17%, 13%]	37.83	37.83	0.000	0.110	0.300	0.000	0.110	0.300
hll7_mpc_shuffle_stats	[8,310, 11,347]	[-17%, 13%]	37.83	37.83	0.000	0.000	0.000	0.000	0.110	0.300
hll15_stats	[9,928, 10,075]	[-1%, 1%]	1.462	1.462	454.6	1,769	3,707	454.6	1,769	3,707
hll15_shuffle_stats	[9,928, 10,075]	[-1%, 1%]	1.462	1.462	0.060	0.150	0.230	454.6	1,769	3,707
hll15_rehashed_stats	[9,928, 10,075]	[-1%, 1%]	1.625	1.668	0.000	0.000	0.000	454.6	1,769	3,707
hll15_mask_stats	[899.9, 19,477]	[-91%, 95%]	0.012	0.012	0.000	0.000	0.000	0.000	0.000	0.000
all_stats	[10,000, 10,000]	[0%, 0%]	0.002	0.002	19,174	19,174	19,174	19,174	19,174	19,174
all_rehashed_stats	[10,000, 10,000]	[0%, 0%]	0.002	0.004	0.000	0.000	0.000	19,174	19,174	19,174
Method	Estimate (actual)	Estimate (relative)	Wait (mean)	Wait (max)	Hub r1	Hub r4	Hub r9	Hosp r1	Hosp r4	Hosp r9
agg_stats	[9,057, 194,126]	[-91%, 94%]	0.000	0.000	0.000	0.010	0.020	0.000	0.010	0.020
agg_mask_stats	[9,057, 194,126]	[-91%, 94%]	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
agg_mpc_stats	[188,850, 194,126]	[89%, 94%]	0.099	0.099	0.000	0.000	0.000	0.000	0.000	0.000
hll0_stats	[11,369, 727,598]	[-89%, 628%]	0.000	0.000	0.140	0.570	1.320	0.140	0.570	1.320
hll0_shuffle_stats	[11,369, 727,598]	[-89%, 628%]	0.000	0.000	0.140	0.570	1.320	0.140	0.570	1.320
hll0_rehashed_stats	[11,369, 727,598]	[-89%, 628%]	0.011	0.096	0.000	0.000	0.000	0.140	0.570	1.320
hll0_mask_stats	[11,369, 369,142]	[-89%, 269%]	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
hll0_mpc_stats	[11,369, 727,598]	[-89%, 628%]	0.385	0.385	0.000	0.000	0.000	0.000	0.000	0.000
hll0_mpc_shuffle_stats	[11,369, 727,598]	[-89%, 628%]	0.385	0.385	0.000	0.000	0.000	0.000	0.000	0.000
hll1_stats	[20,470, 393,030]	[-80%, 293%]	0.000	0.000	0.320	1.240	2.710	0.320	1.240	2.710
hll1_shuffle_stats	[20,470, 393,030]	[-80%, 293%]	0.000	0.000	0.140	0.570	1.320	0.320	1.240	2.710
hll1_rehashed_stats	[20,470, 393,030]	[-80%, 293%]	0.011	0.115	0.000	0.000	0.000	0.320	1.240	2.710
